molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL451865,C#CCNC(=O)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL472638,NCCNC(=O)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL469350,O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL469362,COc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1,IC50,,,
CHEMBL508698,O=C(Nc1cccc(F)c1)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL509345,O=C(Nc1cccc(C(F)(F)F)c1)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL470420,COc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,,,
CHEMBL453410,O=C(Nc1ccc(O)cc1)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL469818,Cc1cccc(Cl)c1NC(=O)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL469768,O=C(Nc1c(F)c(F)c(F)c(F)c1F)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL469976,O=C(NCc1ccccc1)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL469977,O=C(NCCc1ccccc1)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL448696,CN(C(=O)c1cc2ccccc2oc1=O)c1ccccc1,IC50,,,
CHEMBL512721,CN(Cc1ccccc1)C(=O)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL472075,O=C(c1cc2ccccc2oc1=O)N(c1ccccc1)c1ccccc1,IC50,,,
CHEMBL471447,O=C(NC1CCCCC1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,,,
CHEMBL469782,COc1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc1OC,IC50,,,
CHEMBL502021,O=C(NCc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,,,
CHEMBL484411,CC(C)c1ccc(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)cc1,IC50,,,
CHEMBL470008,CN(C(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O)c1ccccc1,IC50,,,
